exp_id,site,seed,epochs,chm,train,test,bbox_prec,bbox_rec,class_prec,class_rec,n_grn_matched,n_brn_matched,n_both_matched
76baf3dfb9234976a6e02938a2b810d6,teak,829640,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6357023341343699,0.722906076089529,0.8743781094527363,0.9577656675749319,0.7130730050933786,0.8297872340425532,0.722397476340694
41723cd7a9ff4f2e8dd110bfc517ab4f,teak,486693,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6412400511129572,0.7375285664187311,0.8634686346863468,0.9564032697547684,0.7402376910016978,0.723404255319149,0.7397476340694006
c749214a6ca0444f93b7c721cb21bfd3,teak,893204,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6442915177112414,0.6790181408428091,0.9108108108108108,0.9182561307901907,0.6774193548387096,0.6595744680851063,0.6766561514195584
679d3671ffa94c4496c8106932c50668,teak,197470,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6465872787846908,0.6704368547712815,0.9237057220708447,0.9237057220708447,0.6893039049235993,0.6170212765957447,0.6845425867507886
31e41c195fa541d0a95b020dd40f541f,teak,604812,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6643618299222024,0.6836420588531511,0.9358437935843794,0.9141689373297003,0.6757215619694398,0.6808510638297872,0.6766561514195584
6430ef1ea5a94ae6afe1ed4dfc9222bb,teak,429951,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6728717502039788,0.7060032647286136,0.921727395411606,0.9305177111716622,0.7130730050933786,0.723404255319149,0.7145110410094637
56b9ef762f9042a2b5c1ca281786b12c,teak,654582,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6862372409558357,0.7096811135330487,0.9190672153635117,0.9128065395095368,0.7062818336162988,0.7659574468085106,0.7113564668769716
dfe4866bdd1444138d59a83ac91ecc4c,teak,290458,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6792811959409268,0.6741886627803978,0.93974175035868,0.8923705722070845,0.6706281833616299,0.6595744680851063,0.6703470031545742
e496e9e520ad4a3f826869c09a8c4d0f,teak,953179,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6509861399528316,0.6924919636387552,0.9158878504672897,0.9346049046321526,0.6859083191850595,0.7446808510638298,0.6908517350157729
5ec23d25820647c48775aa99679e7426,teak,349957,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6602830575819839,0.634515710093109,0.9528023598820059,0.8801089918256131,0.6570458404074703,0.6170212765957447,0.6545741324921136
33fc49124da74590a6acab41e7438931,teak,629325,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6305868737715937,0.6982211652281365,0.8974358974358975,0.9536784741144414,0.7045840407470289,0.7021276595744681,0.7050473186119873
cf16251c44094cbba30771db713a87d5,teak,355536,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6594757061640906,0.6855173546409312,0.9302325581395349,0.9264305177111717,0.6977928692699491,0.6170212765957447,0.692429022082019
3eb482d032a24024bd375b1b92fcfae4,teak,939113,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6580589740308752,0.740120242084861,0.8789407313997478,0.9495912806539509,0.7419354838709677,0.723404255319149,0.7413249211356467
def6bc0531fe42deb441a99cb6b477ac,teak,802950,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6613499957466976,0.6942684215654732,0.926829268292683,0.9318801089918256,0.7011884550084889,0.7446808510638298,0.7050473186119873
6ea38050496a407094967fe37f76048f,teak,761365,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6890913922195249,0.6889858822727393,0.9388335704125178,0.8991825613079019,0.6977928692699491,0.6595744680851063,0.695583596214511
14e07f7649144eeebf1d454aaf996dfc,teak,47370,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6689250165491596,0.7060763930423632,0.9259757738896366,0.9373297002724795,0.7062818336162988,0.723404255319149,0.7082018927444795
0aa20d92c5d84627a01bedc6f675c228,teak,928481,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.666282493964658,0.7016348494469563,0.9219380888290714,0.9332425068119891,0.7079796264855688,0.723404255319149,0.7097791798107256
5cef9b60058a42e482996c31ae8c9c27,teak,945185,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6385435455922557,0.7330922978920985,0.8720787207872078,0.9659400544959128,0.7317487266553481,0.7659574468085106,0.7350157728706624
21dd3186a4f340ec868c3381f9113202,teak,2256,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6761530818842894,0.6693031843295661,0.9437229437229437,0.8910081743869209,0.66553480475382,0.6595744680851063,0.6656151419558359
51ce488740084db0854966ce575336aa,teak,922340,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6638780732875946,0.7089842109374541,0.9139072847682119,0.9400544959128065,0.7045840407470289,0.723404255319149,0.7066246056782335
da74327db48c45449b9c2f8731d06a02,teak,157494,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6013132915827755,0.7061874390895275,0.8580097087378641,0.9632152588555858,0.6994906621392191,0.723404255319149,0.7018927444794952
536b351a90644b48bbdbb4394723a440,teak,426182,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6691690044138762,0.6870536969873667,0.9337931034482758,0.9223433242506812,0.7028862478777589,0.6382978723404256,0.6987381703470031
